cafeSlug,cafeId,articleId,count,need,title,articleUrl
driveee,31746635,16,1,7,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/16
driveee,31746635,1,3,5,"운연정 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31746635/articles/1
driveee,31746635,10,3,5,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/10
driveee,31746635,11,3,5,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/11
petinfo183,31750098,2,3,5,"해충 방역업체 선택법과 방제 방식, 업종별 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/2
petinfo183,31750098,5,3,5,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/5
driveee,31746635,2,4,4,"서울운전연수 가격 / 8년 장롱 탈출 찐후기 4일 만에 혼자 강변북로 탔어요",https://cafe.naver.com/ca-fe/cafes/31746635/articles/2
driveee,31746635,8,4,4,"동탄운전연수 받기 전 꼭 알아야 할 6가지, 수원운전연수 참고",https://cafe.naver.com/ca-fe/cafes/31746635/articles/8
driveee,31746635,9,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/9
driveee,31746635,12,4,4,"수원운전연수 비용 선택기준 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/12
driveee,31746635,15,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/15
petinfo183,31750098,1,4,4,"애견 반려정보 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750098/articles/1
petinfo183,31750098,3,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/3
petinfo183,31750098,10,4,4,"결혼반지 예산과 4C, 구입처별 가격까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/10
mealtalkdht,31750099,2,4,4,"강아지 눈 영양제 성분과 눈물자국·백내장 관리, 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/2
driveee,31746635,4,5,3,"수원운전연수 비용부터 업체 고르는 법까지, 장롱면허 7년차가 10시간 다녀온 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/4
driveee,31746635,5,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/5
driveee,31746635,6,5,3,"의정부운전연수 비용 업체 고르는 법, 12년 장롱면허가 솔직하게 푼 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/6
driveee,31746635,7,5,3,"인천운전연수 비용이랑 업체 고르는 법 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/7
driveee,31746635,13,5,3,"서울운전연수 5년 장롱면허 내돈내산 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/13
driveee,31746635,20,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/20
driveee,31746635,25,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/25
healthhhh,31746910,5,5,3,"흑염소 효능 총정리, 왜 예부터 보양식으로 꼽혔을까",https://cafe.naver.com/ca-fe/cafes/31746910/articles/5
healthhhh,31746910,7,5,3,"인삼 효능 총정리, 기력부터 면역까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/7
healthhhh,31746910,15,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746910/articles/15
healthhhh,31746910,16,5,3,"알파CD 효능과 부작용, 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31746910/articles/16
petinfo183,31750098,7,5,3,"울산 위고비 처방 대상과 효과·부작용, 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/7
petinfo183,31750098,8,5,3,"밀크씨슬 효능과 실리마린 작용, 복용법·고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/8
petinfo183,31750098,9,5,3,"드라이기 모터와 소비전력, 소음까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/9
mealtalkdht,31750099,1,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/1
mealtalkdht,31750099,3,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/3
mealtalkdht,31750099,6,5,3,"두유제조기 가격대와 소음 세척까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750099/articles/6
mealtalkdht,31750099,11,5,3,"회사 답례품 상황별 추천과 예산, 대량 주문 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/11
dogwalk2m4,31750100,1,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750100/articles/1
dogwalk2m4,31750100,4,5,3,"헤어드라이어 종류와 부가기능, 처음 고를 때 봐야 할 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/4
dogwalk2m4,31750100,7,5,3,"선풍기 모터와 소음, 풍량까지 공간별로 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/7
dogwalk2m4,31750100,9,5,3,"접이식 카트 활용법과 캠핑·차박·이사용 대형 고르는 법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/9
driveee,31746635,3,6,2,"수원운전연수 비용 권선동 예비아빠가 업체 고른 솔직 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/3
driveee,31746635,17,6,2,"두유제조기 고르는 기준과 세척·다용도 활용법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/17
driveee,31746635,18,6,2,"올리브오일 효능과 엑스트라버진 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/18
driveee,31746635,21,6,2,"푸룬주스 효능과 변비 완화, 먹는 법과 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/21
driveee,31746635,22,6,2,"장에 좋은 음식과 피해야 할 음식, 장 건강 관리법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/22
driveee,31746635,23,6,2,"군대 깔창 소재별 고르는 기준과 행군·반입까지",https://cafe.naver.com/ca-fe/cafes/31746635/articles/23
healthhhh,31746910,6,6,2,"비타민D 효능과 채우는 법, 햇빛 비타민의 모든 것",https://cafe.naver.com/ca-fe/cafes/31746910/articles/6
