cafeSlug,ownerName,cafeId,articleId,count,need,title,articleUrl
petinfo183,티니피쉬 1,31750098,5,4,4,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/5
driveee,운연정,31746635,16,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/16
petinfo183,티니피쉬 1,31750098,2,5,3,"해충 방역업체 선택법과 방제 방식, 업종별 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/2
petinfo183,티니피쉬 1,31750098,3,5,3,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/3
driveee,운연정,31746635,1,6,2,"운연정 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31746635/articles/1
driveee,운연정,31746635,4,6,2,"수원운전연수 비용부터 업체 고르는 법까지, 장롱면허 7년차가 10시간 다녀온 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/4
driveee,운연정,31746635,5,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/5
driveee,운연정,31746635,10,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/10
driveee,운연정,31746635,12,6,2,"수원운전연수 비용 선택기준 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/12
driveee,운연정,31746635,15,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/15
driveee,운연정,31746635,18,6,2,"올리브오일 효능과 엑스트라버진 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/18
petinfo183,티니피쉬 1,31750098,1,6,2,"애견 반려정보 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750098/articles/1
petinfo183,티니피쉬 1,31750098,9,6,2,"드라이기 모터와 소비전력, 소음까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/9
petinfo183,티니피쉬 1,31750098,10,6,2,"결혼반지 예산과 4C, 구입처별 가격까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/10
dogwalk2m4,강아지강하지 1,31750100,2,7,1,"날개없는 선풍기 원리와 장단점, 청소·안전의 진실까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/2
dogwalk2m4,강아지강하지 1,31750100,3,7,1,"드라이기 잘못 쓰면 모발 손상, 흔한 실수와 안전 사용법",https://cafe.naver.com/ca-fe/cafes/31750100/articles/3
dogwalk2m4,강아지강하지 1,31750100,7,7,1,"선풍기 모터와 소음, 풍량까지 공간별로 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/7
