sequence,plannedRunAtKst,cafeSlug,ownerName,articleId,commentSlot,accountId,accountNickname,subject,articleUrl
1,2026-07-08 08:46,babsangnote702,맛집 밥상노트,13,1,ahffkdlek12,바삭바삭해 1,"알파cd 효과와 부작용, 알파시클로덱스트린 복용법까지",https://cafe.naver.com/ca-fe/cafes/31750114/articles/13
2,2026-07-08 08:47,carelog702,고구마스틱2 (10개) 1,22,7,ahffkekd12,긍정이백퍼  1,"프로포즈반지 예산과 사이즈, 실패 없이 준비하는 법",https://cafe.naver.com/ca-fe/cafes/31750106/articles/22
3,2026-07-08 08:48,dogwalk2m4,강아지강하지 1,21,6,ahsxkfldk12,쉽고간단하게,"헤어에센스 효과와 크림 오일 차이, 바르는 타이밍과 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/21
4,2026-07-08 08:48,driveee,운연정,51,4,ahfflwl123,햄부기,부모님 선물 추천 리스트 취향에 맞게,https://cafe.naver.com/ca-fe/cafes/31746635/articles/51
5,2026-07-08 08:49,healthhhh,가중건다,52,5,alsrudgus531,운연정,부모님선물 추천 리스트 (선물 총정리),https://cafe.naver.com/ca-fe/cafes/31746910/articles/52
6,2026-07-08 08:50,localtable702,소원 1,33,8,eghfsa5478,오세아니야 1,"SAT학원 종류와 고르는 기준, 디지털 SAT 대비법",https://cafe.naver.com/ca-fe/cafes/31750113/articles/33
7,2026-07-08 08:51,mealtalkdht,빨간모자앤 1,21,5,bigfish773,고래낚시 1,"아산 웨딩홀 식대와 대관료, 교통과 보증인원 비교",https://cafe.naver.com/ca-fe/cafes/31750099/articles/21
8,2026-07-08 08:51,menunote702,똑똑한건희씨,22,6,geenl,모험 - 교체,청소업체추천 입주청소 이사청소 평당 비용부터 업체s 고르는 기준까지,https://cafe.naver.com/ca-fe/cafes/31750111/articles/22
9,2026-07-08 08:52,petinfo183,티니피쉬 1,21,5,ghostrush7,실눈캐,"날개없는 선풍기 원리와 장단점, 청소·안전까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/21
10,2026-07-08 08:53,petnote702,애견 반려수첩,1,1,dhtksk1p,빨간모자앤  1,애견 반려수첩 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
11,2026-07-08 08:54,tableclub702,고래낚시 1,32,5,dq1h3bjy,"에스앤비안과, 29년 경력 (노출)","드라이기 고르는 기준과 모터 종류, 부가 기능까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/32
12,2026-07-08 08:54,walknote702,애견 산책노트,1,1,h9ag469z,에스앤비안과 정보,애견 산책노트 카페를 시작합니다.,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
13,2026-07-08 08:55,babsangnote702,맛집 밥상노트,12,1,hagyga,에스앤비안과의원 - 교체,"파운다요 효과와 부작용, 먹는 위고비와 다른 점까지",https://cafe.naver.com/ca-fe/cafes/31750114/articles/12
14,2026-07-08 08:56,carelog702,고구마스틱2 (10개) 1,21,6,k7d9x2m4,강아지강하지 1,종로 예물 가격이 백화점보다 싼 이유와 고르는 기준,https://cafe.naver.com/ca-fe/cafes/31750106/articles/21
15,2026-07-08 08:57,dogwalk2m4,강아지강하지 1,20,5,laghunter8,도도 1,"웨딩밴드 소재와 제작 방식, 백금 화이트골드 차이까지",https://cafe.naver.com/ca-fe/cafes/31750100/articles/20
16,2026-07-08 08:57,driveee,운연정,50,3,n7c3w8z2,고양이밥 1,부모님 생신선물 추천 리스트 (가격대·브랜드),https://cafe.naver.com/ca-fe/cafes/31746635/articles/50
17,2026-07-08 08:58,healthhhh,가중건다,51,6,pixelninja3,건강박사석사 1,"부모님 생신선물 추천 리스트, 종류별로 골라드려요",https://cafe.naver.com/ca-fe/cafes/31746910/articles/51
18,2026-07-08 08:59,localtable702,소원 1,32,3,q9v3m7a2,포비 1,"음식물분쇄기 합법 인증 기준과 설치, 막힘 주의점",https://cafe.naver.com/ca-fe/cafes/31750113/articles/32
19,2026-07-08 09:00,mealtalkdht,빨간모자앤 1,20,2,produce11745,가중건다,"올리브오일 등급과 효능, 고르는 기준과 보관법까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/20
20,2026-07-08 09:00,menunote702,똑똑한건희씨,21,5,vegetable10517,렙용,"일산웨딩홀 대관료 식대 보증인원, 세 곳 돌아보고 계약한 기준",https://cafe.naver.com/ca-fe/cafes/31750111/articles/21
21,2026-07-08 09:01,petinfo183,티니피쉬 1,20,4,ahffkdlek12,바삭바삭해 1,"인천 웨딩홀 식대와 대관료, 보증인원까지 계약 전 체크 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/20
22,2026-07-08 09:02,tableclub702,고래낚시 1,31,5,ahffkekd12,긍정이백퍼  1,"부천 PT 가격과 트레이너 고르는 기준, 상권별 위치까지",https://cafe.naver.com/ca-fe/cafes/31750110/articles/31
23,2026-07-08 09:03,babsangnote702,맛집 밥상노트,11,1,ahfflwl123,햄부기,마운자로 요요 현상 원인과 중단 후 재증가 막는 법,https://cafe.naver.com/ca-fe/cafes/31750114/articles/11
24,2026-07-08 09:03,carelog702,고구마스틱2 (10개) 1,20,5,ahsxkfldk12,쉽고간단하게,"웨딩링과 웨딩밴드 차이, 구입처별 가격과 디자인 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750106/articles/20
