keyword,workCount,adCount,dailyAdCount,dailyCount,cafeCount,cafeIds,articleUrlCount,firstPublishedAt,lastPublishedAt
"어버이날 선물","42","40","2","0","4","25227349 | 25460974 | 25636798 | 25729954","42","2026-04-23T01:51:56.645Z","2026-05-28T02:30:58.747Z"
"60대 엄마 생일선물","23","21","2","0","3","25460974 | 25636798 | 25729954","23","2026-04-05T23:02:27.496Z","2026-05-28T03:35:57.958Z"
"수족냉증","23","15","1","0","4","25227349 | 25460974 | 25636798 | 25729954","23","2026-02-26T03:38:41.009Z","2026-05-28T11:23:49.206Z"
"홍삼스틱","23","19","2","0","3","25227349 | 25460974 | 25729954","23","2026-02-28T12:30:40.603Z","2026-05-28T09:26:57.198Z"
"기력보충 음식","21","18","3","0","3","25227349 | 25460974 | 25729954","21","2026-04-04T10:01:31.487Z","2026-05-28T03:22:59.553Z"
"보양음식","21","20","1","0","4","25227349 | 25460974 | 25636798 | 25729954","21","2026-04-08T08:13:03.410Z","2026-05-28T04:27:45.429Z"
"갈근탕 효능","20","20","0","0","3","25227349 | 25636798 | 25729954","20","2026-04-08T12:05:50.986Z","2026-05-28T06:37:58.775Z"
"영양제 복용시간","20","20","0","0","1","25227349","20","2026-04-07T08:17:33.784Z","2026-05-28T04:14:58.844Z"
"흑염소진액효능","20","0","1","1","4","25227349 | 25460974 | 25636798 | 25729954","20","2026-02-13T01:24:05.981Z","2026-04-26T09:45:06.304Z"
"갱년기 치료 약","19","17","2","0","2","25460974 | 25636798","19","2026-04-08T13:40:03.446Z","2026-05-28T05:33:08.213Z"
"락토핏 맘스","19","19","0","0","2","25227349 | 25729954","19","2026-04-08T10:20:50.906Z","2026-05-28T07:43:21.202Z"
"손발차가움","19","17","1","0","3","25227349 | 25460974 | 25729954","19","2026-03-05T09:59:16.958Z","2026-05-28T06:51:02.187Z"
"임신준비영양제","19","18","1","0","3","25460974 | 25636798 | 25729954","19","2026-03-29T07:46:05.946Z","2026-05-28T06:24:55.096Z"
"자라탕 효능","19","19","0","0","2","25227349 | 25636798","19","2026-04-13T12:00:11.433Z","2026-05-28T04:40:48.158Z"
"헛개나무 숙취해소","19","0","0","0","2","25227349 | 25636798","19","2026-01-21T08:00:10.303Z","2026-02-11T03:24:52.371Z"
"후비루치료","19","19","0","0","2","25227349 | 25636798","19","2026-04-13T09:43:39.783Z","2026-05-28T09:00:50.887Z"
"갱년기 영양제","18","18","0","0","2","25227349 | 25729954","18","2026-04-07T12:15:59.808Z","2026-05-28T07:04:02.586Z"
"노산 나이","18","17","0","0","1","25227349","18","2026-03-20T09:36:43.838Z","2026-05-28T05:58:55.974Z"
"어린이 면역력 영양제","18","17","0","0","3","25460974 | 25636798 | 25729954","18","2026-03-16T13:42:10.278Z","2026-05-28T03:49:02.894Z"
"청소년 종합영양제","18","18","0","0","2","25636798 | 25729954","18","2026-04-08T08:20:24.842Z","2026-05-28T02:57:01.434Z"
"디올 북 토트 미디움 영상 돌려보다가 새벽 됐어요","17","0","0","17","1","25460974","17","2026-04-23T09:13:22.667Z","2026-05-28T09:13:22.146Z"
