카페 자동발행 운영 기록
대상 주간	2026-06-08 ~ 2026-06-14
최종 확인	2026-06-14 18:09:56 KST
확인 기준	DB 미사용 / 네이버 카페 글 목록·글 API 기준

전체 요약	계획	발행완료	예정	실패	미게시	완료율
전체	=COUNTA($A$19:$A)	=COUNTIF($K$19:$K,"발행완료")	=COUNTIF($K$19:$K,"예정")	=COUNTIF($K$19:$K,"실패")	=COUNTIF($K$19:$K,"미게시")	=IFERROR(C7/(B7-D7),"")

카페별 요약	계획	발행완료	예정	실패	미게시	완료율
건강한노후준비	=COUNTIF($D$19:$D,A10)	=COUNTIFS($D$19:$D,A10,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A10,$K$19:$K,"미게시")	=IFERROR(C10/(B10-D10),"")
건강관리소	=COUNTIF($D$19:$D,A11)	=COUNTIFS($D$19:$D,A11,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A11,$K$19:$K,"미게시")	=IFERROR(C11/(B11-D11),"")
쇼핑지름신	=COUNTIF($D$19:$D,A12)	=COUNTIFS($D$19:$D,A12,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A12,$K$19:$K,"미게시")	=IFERROR(C12/(B12-D12),"")
샤넬오픈런	=COUNTIF($D$19:$D,A13)	=COUNTIFS($D$19:$D,A13,$K$19:$K,"발행완료")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"예정")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"실패")	=COUNTIFS($D$19:$D,A13,$K$19:$K,"미게시")	=IFERROR(C13/(B13-D13),"")

유형별 요약	계획	발행완료	예정	실패	미게시	완료율
ad	=COUNTIF($E$19:$E,A16)	=COUNTIFS($E$19:$E,A16,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A16,$K$19:$K,"미게시")	=IFERROR(C16/(B16-D16),"")
daily	=COUNTIF($E$19:$E,A17)	=COUNTIFS($E$19:$E,A17,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A17,$K$19:$K,"미게시")	=IFERROR(C17/(B17-D17),"")
daily-ad	=COUNTIF($E$19:$E,A18)	=COUNTIFS($E$19:$E,A18,$K$19:$K,"발행완료")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"예정")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"실패")	=COUNTIFS($E$19:$E,A18,$K$19:$K,"미게시")	=IFERROR(C18/(B18-D18),"")
주간	예정일	예정시각	카페	유형	키워드/주제	계정	카테고리	계획출처	실제게시시각	실제상태	글번호	실제제목	글URL	확인근거	실패/비고
2026-06-08~2026-06-14	2026-06-08	06:05	건강한노후준비	ad	계류유산 후 몸조리 기간	8i2vlbym	건강정보	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	06:21	쇼핑지름신	ad	임신 준비 엽산 추천	olgdmp9921	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	06:39	샤넬오픈런	daily-ad	샤넬 25 스몰 블랙 체인 길이 때문에 월요일 아침부터 고민 중	yenalk	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	06:56	건강관리소	ad	화학적 유산 후 임신 준비	heavyzebra240	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	07:17	쇼핑지름신	daily	월요일 출근길 스타벅스 텀블러 세일 보고 장바구니 넣었어요	eytkgy5500	일상톡톡	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	07:33	샤넬오픈런	daily	월요일 아침 커피 마시면서 샤넬 앱 신상 사진 다시 보는 중	uqgidh2690	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	07:52	건강한노후준비	ad	계류유산 후 생리 지연	njmzdksm	질문게시판	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	08:08	건강관리소	ad	계류유산 소파술 회복 음식	e6yb5u4k	건강 관리 후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	08:29	쇼핑지름신	ad	남편 임신준비 영양제	4giccokx	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	08:47	샤넬오픈런	daily-ad	샤넬 클래식 미듐 캐비어 은장 출근룩에 맞을지 계속 찾아봄	eytkgy5500	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	09:06	건강한노후준비	ad	계류유산 후 재임신 준비기간	suc4dce7	건강상식	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	09:25	건강관리소	ad	계류유산 후 배란 테스트기	xzjmfn3f	자유로운이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	09:43	쇼핑지름신	ad	자궁내막 두꺼워지는 영양제	yenalk	일반 쇼핑후기	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	10:02	샤넬오픈런	daily	월요일 회의 전 디올 북토트 미니 가격만 또 확인했네요	olgdmp9921	_ 일상샤반사 📆	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	10:24	건강한노후준비	ad	습관성 유산 검사 항목	8ua1womn	건강정보	standard		미게시				예정 시각 이후 카페 글 미확인	
2026-06-08~2026-06-14	2026-06-08	10:41	건강관리소	ad	부부 염색체 검사 후기	0ehz3cb2	건강이야기	standard		미게시				예정 시각 이후 카페 글 미확인	
